|Исполнение|Тип накопителя|Назначение|Объем|Форм-фактор|Интерфейсы подключения|Объем буфера обмена|Частота вращения шпинделя|Кол-во пластин|Среднее время поиска|Потребляемая мощность при ожидании|Ударостойкость при работе|Уровень шума в режиме ожидания|Наработка на отказ|Гарантия производителя|Потребляемая мощность при работе|Уровень шума при чтении|Функции и возможности|Пыле-,влагозащита|Стандарт защиты MIL-STD-810|Источник питания (внешние)|Корпус|Размеры|Вес|Объем кеш-памяти NAND|Метод записи|Скорость передачи данных|Маркировка производителя|Гелиевый|Код EAN / UPS / GTIN|Чехол в комплекте
Toshiba P300 HDWD130EZSTA HDWD130EZSTA|встраиваемый|HDD|для ПК|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||4 мс|5.2 Вт|70 G|27 дБ||2 года|6.4 Вт|28 дБ||||||147x102x26 мм|680 г||CMR|196 МБ/с|HDWD130EZSTA, HDWD130UZSVA|||
WD Blue WD10EZRZ 10EZRZ|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5400 об/мин|||2.5 Вт|65 G|21 дБ|300 тыс. раз|2 года|3.3 Вт|24 дБ||||||147x102x26 мм|450 г||CMR|150 МБ/с||||
"HP Server SAS 7.2K 3.5"" 881779-B21 881779-B21"|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SAS||7200 об/мин|||||||2 года||||||||||||||||
"HP MSA SAS 2.5"" J9F51A J9F51A"|встраиваемый|HDD|для сервера|2000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"HP MSA SAS 2.5"" J9F48A J9F48A"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Exos 10E2400 512 Emulation/4K Native ST2400MM0129 ST2400MM0129|встраиваемый|HDD|для сервера|2400 ГБ|"2.5 """|SAS|256 МБ|10000 об/мин|||4.8 Вт|40 G|||5 лет|8.5 Вт|||||||100x70x15 мм|230 г|16 ГБ / eMLC /||||||
"HP Server SAS 7.2K 3.5"" P9M82A P9M82A"|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SAS||7200 об/мин|||||||2 года||||||||||||||||
Dell SATA 345-BDZZ 345-BDZZ|встраиваемый|HDD|для сервера|480 ГБ|"2.5 """|SATA 3||7200 об/мин|||||||||||||||||||||||
"Seagate Savvio 10K.6 2.5"" ST900MM0006 ST900MM0006"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS|64 МБ|10000 об/мин||3 мс|||||5 лет||||||||||||||||
Seagate Pipeline HD ST3500312CS ST3500312CS|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SATA, SATA 2|8 МБ|5900 об/мин||12 мс|0.7 Вт|70 G|||2 года|3.4 Вт|||||||||||||||
Seagate Cheetah 15K.7 ST3300657SS ST3300657SS|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|2 шт|3 мс|8.74 Вт|60 G|36 дБ|1.6 млн. ч|5 лет|12.92 Вт|||||||||||||||
Seagate Constellation ES.3 ST3000NM0033 ST3000NM0033|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс||300 G|||5 лет||||||||||||||||
Seagate Constellation ES.3 ST3000NM0023 ST3000NM0023|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||||||1.4 млн. ч|5 лет||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST6000NM0024 ST6000NM0024|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6.9 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|11.27 Вт|||||||147x102x26 мм|780 г|||216 МБ/с||||
"HP Server SAS 2.5"" 507127-B21 507127-B21"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин||4 мс|||||||||||||||||||||
"Seagate Enterprise Performance 10K 2.5"" ST1200MM0088 ST1200MM0088"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS|128 МБ|10000 об/мин|3 шт|3 мс|4.26 Вт|40 G|||5 лет|7.25 Вт|||||||100x70x15 мм|193 г|||||||
"HP Server SAS 2.5"" 507284-001 507284-001"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST1000NM0008 ST1000NM0008|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|4.7 Вт|40 G||2 млн. ч|5 лет|7 Вт|||||||102x26x147 мм|550 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST4000NM0025 ST4000NM0025|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|6.52 Вт|70 G / 40 при записи /||2 млн. ч|5 лет|7.74 Вт|||||||102x147x26 мм|680 г|||||||
Seagate Exos 10E2400 512 Native ST1200MM0009 ST1200MM0009|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS|128 МБ|10000 об/мин|2 шт||4.2 Вт|40 G|||5 лет|7.2 Вт|||||||100x70x15 мм|193 г|||||||
Dell SAS 10K 400-AVEZ 400-AVEZ|встраиваемый|HDD|для сервера|2400 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
WD Red Plus WD20EFPX 20EFPX|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5400 об/мин|||3.1 Вт|||600 тыс. раз|3 года|4.8 Вт|||||||147x102x26 мм|450 г||CMR|180 МБ/с||||
"Seagate Enterprise Performance 10K 2.5"" ST600MM0088 ST600MM0088"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS|128 МБ|10000 об/мин|2 шт|3 мс|3.91 Вт|40 G|||5 лет|7.15 Вт|||||||100x70x15 мм|185 г|||||||
"HP Server SAS 2.5"" 581311-001 581311-001"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST12000NM0027 ST12000NM0027|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SAS|250 МБ|7200 об/мин|||5.5 Вт|||2.5 млн. ч|5 лет|9.3 Вт|||||||101x147x26 мм|650 г|||||||
"HP Server SAS 15K 2.5"" Q1H47A Q1H47A"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||15000 об/мин|||||||2 года||||||||||||||||
Dell SAS 10K 400-BEGI 400-BEGI|встраиваемый|HDD|для сервера|960 ГБ|"3.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Cheetah 15K.7 ST3600057SS ST3600057SS|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|4 шт|3 мс|11.68 Вт|60 G|36 дБ|1.6 млн. ч|5 лет|16.35 Вт|||||||||||||||
Seagate Exos 10E2400 512 Native ST600MM0009 ST600MM0009|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS|128 МБ|10000 об/мин|||3.44 Вт|40 G|||5 лет|6.68 Вт|||||||100x70x15 мм|222 г|||||||
Seagate Constellation ES.3 ST2000NM0033 ST2000NM0033|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс||300 G|||5 лет||||||||||||||||
"HP Server SAS 2.5"" 581286-B21 581286-B21"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин||4 мс|||||||||||||138x79x16 мм||||||||
Seagate Enterprise Capacity 3.5 HDD ST2000NM0045 ST2000NM0045|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|4.75 Вт|40 G||2 млн. ч|5 лет|6.3 Вт|||||||102x26x147 мм|610 г|||||||
Seagate IronWolf ST4000VN008 ST4000VN008|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5900 об/мин|||3.95 Вт|80 G|23 дБ|600 тыс. раз|3 года|4.8 Вт|25 дБ||||||147x102x26 мм|610 г||CMR|180 МБ/с||||
Toshiba DT01ACAxxx DT01ACA300 DT01ACA300|встраиваемый|HDD|для ПК|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|3 шт||1 Вт|70 G|27 дБ|300 тыс. раз|2 года|6.4 Вт|28 дБ||||||||||||||
Seagate Exos 10E2400 512 Native ST300MM0048 ST300MM0048|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS|128 МБ|10000 об/мин|1 шт||3.09 Вт|40 G|||5 лет|6.3 Вт|31 дБ||||||100x70x15 мм|218 г|||215 МБ/с||||
Seagate Enterprise Capacity 3.5 HDD ST3000NM0005 ST3000NM0005|встраиваемый|HDD|для ПК|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин|||5 Вт|40 G||2 млн. ч|5 лет|9.5 Вт||шифрование данных|||||101x147x26 мм|655 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST4000NM0035 ST4000NM0035|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|5 Вт|70 G / 40 при записи /||2 млн. ч|5 лет|9.5 Вт|||||||147x102x26 мм|655 г|||||||
Silicon Power Diamond D30 SP010TBPHDD3SS3K SP010TBPHDD3SS3K|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года||||||USB порт|пластиковый|126x81x10 мм||||||||
Seagate Enterprise Capacity 3.5 HDD ST2000NM0008 ST2000NM0008|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|4.7 Вт|40 G||2 млн. ч|5 лет|7 Вт|||||||102x26x147 мм|550 г|||||||
Silicon Power Diamond D30 SP040TBPHDD3LS3K SP040TBPHDD3LS3K|внешний|HDD|для ПК|4000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года||||||USB порт|пластиковый|126x81x21 мм||||||||
Silicon Power Diamond D30 SP020TBPHDD3SS3K SP020TBPHDD3SS3K|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года||||||USB порт|пластиковый|126x81x10 мм||||||||
Silicon Power Diamond D30 SP050TBPHDD3LS3K SP050TBPHDD3LS3K|внешний|HDD|для ПК|5000 ГБ|"2.5 """|USB 3.2 gen1|8 МБ|5400 об/мин|||||||3 года||||||USB порт|пластиковый|126x81x21 мм||||||||
Seagate Exos X20 SAS ST20000NM002D ST20000NM002D|встраиваемый|HDD|для сервера|20000 ГБ|"3.5 """|SAS||7200 об/мин|||5.8 Вт|||2.5 млн. ч|5 лет|9.8 Вт|||||||147x102x26 мм|670 г|||285 МБ/с||||
WD Ultrastar DC HC570 WUH722222AL5201 WUH722222AL5201|встраиваемый|HDD|для ПК|22000 ГБ|"3.5 """|SAS|512 МБ|7200 об/мин|||6 Вт|||600 тыс. раз|5 лет|9.6 Вт|||||||147x102x26 мм|670 г||CMR|277 МБ/с|0F48051, 0F48052, WUH722222AL5201, WUH722222AL5204|Есть||
Seagate Enterprise Capacity 3.5 HDD ST6000NM0095 ST6000NM0095|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS|256 МБ|7200 об/мин||4 мс|6.9 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|11.1 Вт|||||||102x147x26 мм|700 г|||||||
Seagate Exos X22 ST22000NM000E ST22000NM000E|встраиваемый|HDD|для сервера|22000 ГБ|"3.5 """|SAS|512 МБ|7200 об/мин|||5.5 Вт|200 G||2.5 млн. ч|5 лет||||||||147x102x26 мм|680 г|||285 МБ/с|ST22000NM000E, ST22000NM004E, ST22000NM006E|Есть||
"HP Server SAS 2.5"" J9F49A J9F49A"|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST1000NM0055 ST1000NM0055|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|9 Вт|40 G||2 млн. ч|5 лет|10 Вт|||||||102x26x147 мм|610 г|||||||
Toshiba N300 HDWG21CUZSVA HDWG21CUZSVA|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс|3.78 Вт|70 G|20 дБ|1 млн. ч|3 года|6.13 Вт|||||||101x147x26 мм|720 г||CMR||HDWG21CEZSTA, HDWG21CUZSVA|Есть||
Seagate IronWolf Pro ST10000NT001 ST10000NT001|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс|5 Вт|||2 млн. ч|5 лет|7.8 Вт|||||||147x102x26 мм|720 г||CMR|263 МБ/с||||
Synology HAT5310 HAT5310-8T HAT5310-8T|встраиваемый|HDD|для ПК|8000 ГБ|"3.5 """|SATA 3|256 МБ|5700 об/мин|||5.61 Вт|||2 млн. ч|5 лет|9.29 Вт|||||||147x102x26 мм|720 г|||248 МБ/с||||
"Seagate Enterprise Capacity HDD 2.5"" ST1000NX0313 ST1000NX0313"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|1.14 Вт|25 G||1.4 млн. ч|5 лет|4.74 Вт|||||||100x70x15 мм|198 г|||||||
"A-Data DashDrive Durable HD650 USB 3.1 2.5"" AHD650-2TU31-CBK AHD650-2TU31-CBK"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус|||USB порт|прорезиненный|127x99x27 мм|390 г|||||||
Seagate IronWolf Pro ST8000NT001 ST8000NT001|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||7.8 Вт|||2 млн. ч|5 лет|10.1 Вт|||||||147x102x26 мм|720 г||CMR|255 МБ/с||||
Synology HAS5300 HAS5300-12T HAS5300-12T|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SAS|256 МБ|7200 об/мин|||4.36 Вт|||2.5 млн. ч|5 лет|7.8 Вт|||||||147x102x26 мм|720 г|||242 МБ/с||||
"A-Data DashDrive Durable HD650 2.5"" AHD650-1TU3-CBK AHD650-1TU3-CBK"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус|||USB порт|пластиковый|121x81x21 мм|201 г||||||4713435799154|
WD Red Pro WD221KFGX 221KFGX|встраиваемый|HDD|для сервера|22000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин||||||600 тыс. раз|5 лет||||||||147x102x26 мм|674 г||CMR|265 МБ/с||||
WD Ultrastar DC HC560 WUH722020BLE6L4 WUH722020BLE6L4|встраиваемый|HDD|для сервера|20000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин||||||2.5 млн. ч|||||||||147x102x26 мм|718 г|||291 МБ/с|0F38785|||
Seagate Expansion STKP STKP16000400 STKP16000400|внешний|HDD|для ПК|16000 ГБ|"3.5 """|USB 3.2 gen1|||||||||2 года||||||||179x125x42 мм|1176 г||||||3660619040469|
Seagate IronWolf Pro ST6000NT001 ST6000NT001|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||7.1 Вт|||2 млн. ч|5 лет|9.3 Вт|||||||147x102x26 мм|710 г||CMR|250 МБ/с||||
Seagate Exos 7E8 ST8000NM000A ST8000NM000A|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс||||2 млн. ч|5 лет|12.81 Вт|||||||147x102x26 мм|716 г|||249 МБ/с||||
Seagate IronWolf ST2000VN003 ST2000VN003|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|5400 об/мин||||||600 тыс. раз|3 года||||||||147x102x20 мм|415 г||CMR|180 МБ/с||||
A-Data HD770G AHD770G-2TU32G1-CBK AHD770G-2TU32G1-CBK|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус, шифрование данных / AES с длиной ключа 256 бит /|Есть|Есть|USB порт|пластиковый / + противоударный силикон /|139x98x26 мм|270 г||||||4710273772226, 4710273772240|
"A-Data DashDrive Classic HV620S 2.5"" AHV620S-2TU3-CBL AHV620S-2TU3-CBL"|внешний|HDD|для ПК|2000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|115x78x12 мм|152 г||||||4713218463043, 4713218463081|
Seagate SkyHawk Standard ST1000VX013 ST1000VX013|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин|||||||||||||||147x102x20 мм|415 г|||180 МБ/с|ST1000VX012, ST1000VX013|||
Seagate Expansion STKP STKP18000400 STKP18000400|внешний|HDD|для ПК|18000 ГБ|"3.5 """|USB 3.2 gen1|||||||||2 года||||||||179x125x42 мм|1176 г||||||0763649167335|
Seagate Exos X18 ST14000NM004J ST14000NM004J|встраиваемый|HDD|для сервера|14000 ГБ|"3.5 """|SAS / Dual /|256 МБ|7200 об/мин||||||2.5 млн. ч|5 лет||||||||147x102x26 мм|650 г|||270 МБ/с|ST14000NM004J, ST14000NM005J, ST14000NM007J|Есть||
Seagate Expansion STKP STKP12000400 STKP12000400|внешний|HDD|для ПК|12000 ГБ|"3.5 """|USB 3.2 gen1|||||||||2 года||||||||179x125x42 мм|1176 г||||||3660619040445|
Seagate Exos 7E10 512e/4KN SAS ST10000NM018B ST10000NM018B|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|||7200 об/мин|||8.14 Вт|||2 млн. ч|5 лет|12.26 Вт|||||||147x102x26 мм|720 г|||263 МБ/с||||
Toshiba MG10 MG10ACA20TE MG10ACA20TE|встраиваемый|HDD|для ПК|20000 ГБ|"3.5 """|SATA 3|512 МБ|7200 об/мин|||4.38 Вт||20 дБ|550 тыс. раз|5 лет|8.11 Вт|32 дБ|||||||720 г||CMR|281 МБ/с||||
WD Elements Desktop 2 WDBWLG0140HBK BWLG0140HBK|внешний|HDD|для ПК|14000 ГБ|"3.5 """|USB 3.2 gen1||5400 об/мин|||||||2 года||||||блок питания|пластиковый|166x48x135 мм|||||||0718037872971|
Seagate One Touch Hub STLC4000400 STLC4000400|внешний|HDD|для ПК|4000 ГБ||USB 3.2 gen1, USB C 3.2 gen1|||||||||2 года||||||блок питания|пластиковый|199x130x45 мм|1240 г||||||3660619042128|
Seagate Expansion STKP STKP14000400 STKP14000400|внешний|HDD|для ПК|14000 ГБ|"3.5 """|USB 3.2 gen1|||||||||2 года||||||||179x125x42 мм|1176 г||||||3660619040452|
Toshiba MG04ACAxxxN MG04ACA100N MG04ACA100N|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||||||600 тыс. раз|||||||||147x102x26 мм|720 г|||||||
WD Gold Enterprise Class WD221KRYZ 221KRYZ|встраиваемый|HDD|для сервера|22000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин|||5.7 Вт|||2.5 млн. ч|5 лет|9.3 Вт|||||||147x102x26 мм|670 г|||291 МБ/с||||
WD Ultrastar DC HC570 WUH722222ALE6L1 WUH722222ALE6L1|встраиваемый|HDD|для ПК|22000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин|||5.7 Вт|||600 тыс. раз|5 лет|9.3 Вт|||||||147x102x26 мм|670 г||CMR|277 МБ/с|0F48154, 0F48155, WUH722222ALE6L1, WUH722222ALE6L4|Есть|8717306635523|
Seagate Exos 7E8 ST4000NM005A ST4000NM005A|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS|256 МБ|7200 об/мин||4 мс|5.79 Вт|||2 млн. ч|5 лет|11.12 Вт|||||||147x102x26 мм|649 г|||226 МБ/с|||8592978168421|
WD My Book NEW WDBBGB0160HBK BBGB0160HBK|внешний|HDD|для ПК|16000 ГБ|"3.5 """|USB 3.2 gen1|||||||||3 года|||шифрование данных|||блок питания|пластиковый|171x139x49 мм|1360 г||||||0718037879109|
"Seagate Enterprise Capacity HDD 2.5"" ST1000NX0333 ST1000NX0333"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS|128 МБ|7200 об/мин||4 мс|1.52 Вт|25 G||1.4 млн. ч|5 лет|5.9 Вт|||||||100x70x15 мм|198 г|||||||
Seagate One Touch Hub STLC18000402 STLC18000402|внешний|HDD|для ПК|18000 ГБ||USB 3.2 gen1, USB C 3.2 gen1|||||||||2 года||||||блок питания|пластиковый|199x130x45 мм|1250 г||||STLC18000400, STLC18000402||3660619042197, 8719706043755|
WD Purple WD102PURX 102PURX|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||||||1.5 млн. ч|3 года|9 Вт|38 дБ|режим экономии энергии|||||147x102x26 мм|750 г|||||||
WD My Book NEW WDBBGB0140HBK BBGB0140HBK|внешний|HDD|для ПК|14000 ГБ|"3.5 """|USB 3.2 gen1|||||||||3 года|||шифрование данных|||блок питания|пластиковый|171x139x49 мм|1360 г||||||0718037873077|
WD Purple WD64PURZ 64PURZ|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|5400 об/мин||||||300 тыс. раз|3 года||||||||147x102x26 мм|570 г||CMR|175 МБ/с|||0718037898339|
"A-Data DashDrive Classic HV620S 2.5"" AHV620S-1TU3-CBL AHV620S-1TU3-CBL"|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года||||||USB порт|пластиковый|115x78x12 мм|152 г||||||4712366966055, 4713218461100, 4713218461803|
WD Ultrastar DC HC520 HUH721212ALE604 HUH721212ALE604|встраиваемый|HDD|для сервера|12000 ГБ|"3.5 """|SATA 3|256 МБ|7200 об/мин||||||2.5 млн. ч|5 лет|6.9 Вт|||||||147x102x26 мм|||||0F30146|Есть||
