|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
Intel Xeon Gold 2nd Gen 6248R|Xeon|Cascade Lake|Intel LGA 3647|14 нм|3 ГГц|205 Вт|||75 °С|24 cores|||48 threads|отсутствует|||||6 шт|CD8069504449401|4 ГГц||||||Есть||2999 МГц|||||||||||||||35.75 МБ|1000 ГБ||
AMD Ryzen Threadripper 5000 5965WX OEM|Ryzen Threadripper|Chagall (Zen 3)|AMD WRX8|7 нм|3.8 ГГц|280 Вт|||95 °С|24 cores|||48 threads|отсутствует|||||8 шт|100-000000446|4.5 ГГц||||||Есть||3200 МГц|||||||||||||1536 КБ|12288 КБ|128 МБ|||
AMD Ryzen 9 Raphael 7950X3D BOX|Ryzen 9|Raphael (Zen 4)|AMD AM5|5 нм|4.2 ГГц|120 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE||89 °С|16 cores|||32 threads|Radeon|||128 ГБ||2 шт|100-100000908WOF|5.7 ГГц||Есть|1024 КБ|16384 КБ|128 МБ|Есть|5.0|||5200 МГц||||||||||||||||0730143314893
AMD Ryzen 9 Raphael 7900X3D OEM|Ryzen 9|Raphael (Zen 4)|AMD AM5|5 нм|4.4 ГГц|120 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE||89 °С|12 cores|||24 threads|Radeon|||128 ГБ||2 шт|100-000000909|5.6 ГГц||Есть|768 КБ|12288 КБ|128 МБ|Есть|5.0|||5200 МГц||||||||||||||||
AMD Ryzen 3 Renoir 4350G PRO OEM|Ryzen 3|Renoir (Zen 2)|AMD AM4|7 нм|3.8 ГГц|65 Вт|||95 °С|4 cores|||8 threads|Radeon Vega 6|||||2 шт|100-100000148MPK|4 ГГц||||||Есть|3.0|3200 МГц||||||||||11315 балл(ов)|20676 балл(ов)|1103 балл(ов)|256 КБ|2048 КБ|4 МБ|64 ГБ||
Intel Core i7 Raptor Lake Refresh 14700KF BOX|Core i7|Raptor Lake Refresh|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2|||20 cores|||28 threads|отсутствует|||192 ГБ||2 шт|BX8071514700KF, BXC8071514700KF|||Есть|||33 МБ|Есть|5.0|3200 МГц|253 Вт|5600 МГц|3.4 ГГц|2.5 ГГц|5.6 ГГц|5.5 ГГц|4.3 ГГц|8 cores|12 cores|||||||||
AMD Ryzen 3 Raven Ridge 2200G OEM|Ryzen 3|Raven Ridge (Zen)|AMD AM4|14 нм|3.5 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|||4 cores|||4 threads|Radeon Vega 8|||||2 шт|YD2200C5M4MFB|3.7 ГГц||Есть|||||3.0|2993 МГц||||||||||7325 балл(ов)|12121 балл(ов)|549 балл(ов)|384 КБ|2048 КБ|4 МБ|||
AMD Ryzen Threadripper 5000 5955WX OEM|Ryzen Threadripper|Chagall (Zen 3)|AMD WRX8|7 нм|4 ГГц|280 Вт|||95 °С|16 cores|||32 threads|отсутствует|||||8 шт|100-000000447|4.5 ГГц||||||Есть||3200 МГц|||||||||||||1024 КБ|8192 КБ|64 МБ|||
Intel Pentium Skylake G4400 OEM|Pentium|Skylake|Intel LGA 1151|14 нм|3.3 ГГц|54 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, BMI, BMI1 / BMI2, F16C, EM64T, NX, XD, VT-x, VT-d /|33||2 cores|||2 threads|HD Graphics 510|8 ГТ/с|||1600 МГц|2 шт|CM8066201927306||||||||3.0|2133 МГц|||||||||||||64 КБ|512 КБ|3 МБ|64 ГБ||
Intel Core i9 Comet Lake i9-10900K OEM|Core i9|Comet Lake|Intel LGA 1200|14 нм|3.7 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2|37|100 °С|10 cores|||20 threads|UHD Graphics 630|8 ГТ/с||||2 шт|CM8070104282844|5.1 ГГц||Есть||||Есть|3.0|2933 МГц|||||5.2 ГГц|||||23891 балл(ов)|46636 балл(ов)|2677 балл(ов)|640 КБ|2560 КБ|20 МБ|128 ГБ||
Intel Core i3 Raptor Lake i3-13100 BOX|Core i3|Raptor Lake|Intel LGA 1700|10 нм||60 Вт|SSE4.1, SSE4.2, AVX2||100 °С|4 cores|||8 threads|UHD Graphics 730|||||2 шт|BX8071513100, BXC8071513100||||||||5.0|3200 МГц|89 Вт|4800 МГц|3.4 ГГц|||4.5 ГГц||4 cores|||||||12 МБ|128 ГБ|Есть|5032037260312
Intel Celeron Skylake G3900 OEM|Celeron|Skylake|Intel LGA 1151|14 нм|2.8 ГГц|51 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, F16C / EM64T, NX, XD, VT-x, VT-d, SGX /|28||2 cores|||2 threads|HD Graphics 510|8 ГТ/с|||1600 МГц|2 шт|CM8066201928610||||||||3.0|2133 МГц||||||||||3153 балл(ов)||213 балл(ов)|128 КБ|512 КБ|2 МБ|64 ГБ||
Intel Pentium Coffee Lake G5400 OEM|Pentium|Coffee Lake|Intel LGA 1151 v2|14 нм|3.7 ГГц|58 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4, SSE4.1, SSE4.2, AES / NX, XD, HT, VT-x, TSX, MPX, SGX /|37|100 °С|2 cores|||4 threads|UHD Graphics 610|8 ГТ/с||||2 шт|CM8068403360112|||||||Есть|3.0|2400 МГц||||||||||3729 балл(ов)|8817 балл(ов)|403 балл(ов)|||4 МБ|64 ГБ||
Intel Core i7 Comet Lake i7-10700F BOX|Core i7|Comet Lake|Intel LGA 1200|14 нм|2.9 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2|29|100 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||||2 шт|BX8070110700F, BXC8070110700F|4.7 ГГц||||||Есть|3.0|2933 МГц|||||4.8 ГГц|||||17490 балл(ов)|33980 балл(ов)||||16 МБ|128 ГБ|Есть|
AMD Ryzen Threadripper 5000 5975WX OEM|Ryzen Threadripper|Chagall (Zen 3)|AMD WRX8|7 нм|3.6 ГГц|280 Вт|||95 °С|32 cores|||64 threads|отсутствует|||||8 шт|100-000000445|4.5 ГГц||||||Есть||3200 МГц|||||||||||||2048 КБ|16384 КБ|128 МБ|||
Intel Core i9 Comet Lake i9-10900KF OEM|Core i9|Comet Lake|Intel LGA 1200|14 нм|3.7 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2|37|100 °С|10 cores|||20 threads|отсутствует|8 ГТ/с||||2 шт|CM8070104282846|5.1 ГГц||Есть||||Есть|3.0|2933 МГц|||||5.2 ГГц|||||24144 балл(ов)|37524 балл(ов)||||20 МБ|128 ГБ||
Intel Core i9 Raptor Lake Refresh 14900KF BOX|Core i9|Raptor Lake Refresh|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2|||24 cores|||32 threads|отсутствует|||192 ГБ||2 шт|BX8071514900KF, BXC8071514900KF|6 ГГц||Есть|||36 МБ|Есть|5.0|3200 МГц|253 Вт|5600 МГц|3.2 ГГц|2.4 ГГц|5.8 ГГц|5.6 ГГц|4.4 ГГц|8 cores|16 cores|||||||||
Intel Pentium Alder Lake G7400 OEM|Pentium|Alder Lake|Intel LGA 1700|10 нм||46 Вт|SSE4.1, SSE4.2, AVX2||100 °С|2 cores|||4 threads|UHD Graphics 710|||||2 шт|CM8071504651605|||||||Есть|5.0|3200 МГц||4800 МГц|3.7 ГГц|||||2 cores|||||||6 МБ|128 ГБ||
Intel Core i9 Comet Lake i9-10900K BOX|Core i9|Comet Lake|Intel LGA 1200|14 нм|3.7 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2|37|100 °С|10 cores|||20 threads|UHD Graphics 630|8 ГТ/с||||2 шт|BX8070110900K, BXC8070110900K|5.1 ГГц||||||Есть|3.0|2933 МГц|||||5.2 ГГц|||||23891 балл(ов)|46636 балл(ов)|2677 балл(ов)|||20 МБ|128 ГБ||
Intel Core i5 Coffee Lake Refresh i5-9600KF BOX|Core i5|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.7 ГГц|95 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|37||6 cores|||6 threads|отсутствует|||||2 шт|BX80684I59600KF|4.6 ГГц||Есть|||||3.0|2666 МГц||||||||||10892 балл(ов)|29673 балл(ов)|1165 балл(ов)|384 КБ|1536 КБ|9 МБ|128 ГБ||
AMD Milan EPYC 7713 OEM|EPYC|Milan (Zen 3)|AMD SP3|7 нм|2 ГГц|225 Вт||||64 cores|||128 threads|отсутствует|||||8 шт|100-000000344|3.68 ГГц||||||Есть||3200 МГц|||||||||||||||256 МБ|||
Intel Core i7 Raptor Lake Refresh 14700K BOX|Core i7|Raptor Lake Refresh|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2|||20 cores|||28 threads|UHD Graphics 770|||192 ГБ||2 шт|BX8071514700K, BXC8071514700K|||Есть|||33 МБ|Есть|5.0|3200 МГц|253 Вт|5600 МГц|3.4 ГГц|2.5 ГГц|5.6 ГГц|5.5 ГГц|4.3 ГГц|8 cores|12 cores|||||||||
AMD Genoa EPYC 9654 OEM|EPYC|Genoa (Zen 4)|AMD SP5|5 нм|2.4 ГГц|360 Вт||||96 cores|||192 threads|отсутствует|||||12 шт|100-000000789|3.55 ГГц||||||Есть|5.0 / x128 /|||4800 МГц|||||||||||||384 МБ|||8592978424503
Intel Core i5 Raptor Lake Refresh 14600K OEM|Core i5|Raptor Lake Refresh|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2|||14 cores|||20 threads|UHD Graphics 770|||192 ГБ||2 шт|CM8071504821015|||Есть|||24 МБ|Есть|5.0|3200 МГц|181 Вт|5600 МГц|3.5 ГГц|2.6 ГГц||5.3 ГГц|4 ГГц|6 cores|8 cores|||||||||
Intel Celeron Coffee Lake G4900 OEM|Celeron|Coffee Lake|Intel LGA 1151 v2|14 нм|3.1 ГГц|54 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4, SSE4.1, SSE4.2, AES / NX, XD, VT-x, TSX, MPX, SGX /|31|100 °С|2 cores|||2 threads|UHD Graphics 610|8 ГТ/с||||2 шт|CM8068403378112||||||||3.0|2400 МГц|||||||||||||128 КБ|512 КБ|2 МБ|64 ГБ||
Intel Core i9 Alder Lake i9-12900F BOX|Core i9|Alder Lake|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|отсутствует|||||2 шт|BX8071512900F, BXC8071512900F|5.1 ГГц||Есть||||Есть|5.0|3200 МГц|202 Вт|4800 МГц|2.4 ГГц|1.8 ГГц||5 ГГц|3.8 ГГц|8 cores|8 cores||||||30 МБ|128 ГБ|Есть|
Intel Core i5 Coffee Lake i5-8400 OEM|Core i5|Coffee Lake|Intel LGA 1151 v2|14 нм|2.8 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, MPX, SGX /|28||6 cores|||6 threads|UHD Graphics 630|8 ГТ/с||||2 шт|CM8068403358811|4 ГГц|||||||3.0|2666 МГц||||||||||11625 балл(ов)|22258 балл(ов)|924 балл(ов)|||9 МБ|128 ГБ||
Intel Core i9 Raptor Lake Refresh 14900K BOX|Core i9|Raptor Lake Refresh|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2|||24 cores|||32 threads|UHD Graphics 770|||192 ГБ||2 шт|BX8071514900K, BXC8071514900K|6 ГГц||Есть|||36 МБ|Есть|5.0|3200 МГц|253 Вт|5600 МГц|3.2 ГГц|2.4 ГГц|5.8 ГГц|5.6 ГГц|4.4 ГГц|8 cores|16 cores|||||||||
Intel Core i9 Rocket Lake i9-11900KF BOX|Core i9|Rocket Lake|Intel LGA 1200|14 нм|3.5 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||||2 шт|BX8070811900KF, BXC8070811900KF|5.1 ГГц||Есть||||Есть|4.0|3200 МГц|||||5.2 ГГц|||||27315 балл(ов)|43024 балл(ов)|2575 балл(ов)|||16 МБ|128 ГБ||
Intel Celeron Alder Lake G6900 OEM|Celeron|Alder Lake|Intel LGA 1700|10 нм||46 Вт|SSE4.1, SSE4.2, AVX2||100 °С|2 cores|||2 threads|UHD Graphics 710|||||2 шт|CM8071504651805||||||||5.0|3200 МГц||4800 МГц|3.4 ГГц|||||2 cores|||||||4 МБ|128 ГБ||
Intel Core i7 Rocket Lake i7-11700F BOX|Core i7|Rocket Lake|Intel LGA 1200|14 нм|2.5 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||||2 шт|BX8070811700F, BXC8070811700F|4.9 ГГц||||||Есть|4.0|3200 МГц||||||||||21480 балл(ов)|38275 балл(ов)||||16 МБ|128 ГБ|Есть|
Intel Xeon Gold 2nd Gen 6246|Xeon|Cascade Lake|Intel LGA 3647|14 нм|3.3 ГГц|165 Вт|SSE4.2, AVX, AVX2, AVX-512|33|76 °С|12 cores|||24 threads|отсутствует|||||6 шт|CD8069504282905|4.2 ГГц||||||Есть||2933 МГц|||||||||||||||23.75 МБ|1000 ГБ||
Intel Core i5 Raptor Lake Refresh 14600KF OEM|Core i5|Raptor Lake Refresh|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2|||14 cores|||20 threads|отсутствует|||192 ГБ||2 шт|CM8071504821014|||Есть|||24 МБ|Есть|5.0|3200 МГц|181 Вт|5600 МГц|3.5 ГГц|2.6 ГГц||5.3 ГГц|4 ГГц|6 cores|8 cores|||||||||
Intel Core i7 Comet Lake i7-10700K BOX|Core i7|Comet Lake|Intel LGA 1200|14 нм|3.8 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2|38|100 °С|8 cores|||16 threads|UHD Graphics 630|8 ГТ/с||||2 шт|BX8070110700K, BXC8070110700K|5 ГГц||Есть||||Есть|3.0|2933 МГц|||||5.1 ГГц|||||19819 балл(ов)|37608 балл(ов)|2344 балл(ов)|384 КБ|2048 КБ|16 МБ|128 ГБ||
Intel Core i3 Coffee Lake Refresh i3-9100 OEM|Core i3|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, MPX, SGX /|36|100 °С|4 cores|||4 threads|UHD Graphics 630|8 ГТ/с||||2 шт|CM8068403377319|4.2 ГГц|||||||3.0|2400 МГц||||||||||9194 балл(ов)|16519 балл(ов)||||6 МБ|64 ГБ||
Intel Core i7 Rocket Lake i7-11700KF BOX|Core i7|Rocket Lake|Intel LGA 1200|14 нм|3.6 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||||2 шт|BX8070811700KF, BXC8070811700KF|5 ГГц||Есть||||Есть|4.0|3200 МГц||||||||||25800 балл(ов)|44566 балл(ов)||||16 МБ|128 ГБ||
Intel Xeon Rocket Lake E-2336 OEM|Xeon|Rocket Lake|Intel LGA 1200|14 нм|2.9 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2, AVX-512||100 °С|6 cores|||12 threads|отсутствует|8 ГТ/с||||2 шт|CM8070804495816|4.8 ГГц||||||Есть|4.0|3200 МГц|||||||||||||||12 МБ|128 ГБ||
AMD Ryzen 5 Picasso 3400GE OEM|Ryzen 5|Picasso (Zen+)|AMD AM4|12 нм|3.3 ГГц|35 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|33|95 °С|4 cores|||8 threads|Radeon Vega 11|||||2 шт|YD3400C6M4MFH|4 ГГц||Есть||||Есть|3.0|2933 МГц|||||||||||||384 КБ|2048 КБ|4 МБ|||
Intel Core i7 Rocket Lake i7-11700 OEM|Core i7|Rocket Lake|Intel LGA 1200|14 нм|2.5 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|UHD Graphics 750|8 ГТ/с||||2 шт|CM8070804491214|4.9 ГГц||||||Есть|4.0|3200 МГц||||||||||20990 балл(ов)|||||16 МБ|128 ГБ||
Intel Celeron Comet Lake G5905 OEM|Celeron|Comet Lake|Intel LGA 1200|14 нм|3.5 ГГц|58 Вт|SSE4.1, SSE4.2|35|100 °С|2 cores|||2 threads|UHD Graphics 610|8 ГТ/с||||2 шт|CM8070104292115||||||||3.0|2666 МГц|||||||||||||||4 МБ|128 ГБ||
AMD Ryzen 7 Matisse 3800X BOX|Ryzen 7|Matisse (Zen 2)|AMD AM4|7 нм|3.9 ГГц|105 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /|39|95 °С|8 cores|||16 threads|отсутствует|||||2 шт|100-100000025BOX|4.5 ГГц||Есть||||Есть|4.0|3200 МГц||||||||||23343 балл(ов)|37259 балл(ов)|2306 балл(ов)||4096 КБ|32 МБ|128 ГБ|Есть|
AMD Ryzen 7 Matisse 3800X OEM|Ryzen 7|Matisse (Zen 2)|AMD AM4|7 нм|3.9 ГГц|105 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /|39||8 cores|||16 threads|отсутствует|||||2 шт|100-000000025|4.5 ГГц||Есть||||Есть|4.0|3200 МГц||||||||||23343 балл(ов)|37259 балл(ов)|2306 балл(ов)||4096 КБ|32 МБ|128 ГБ||
Intel Core i9 Alder Lake i9-12900F OEM|Core i9|Alder Lake|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|отсутствует|||||2 шт|CM8071504549318|5.1 ГГц||Есть||||Есть|5.0|3200 МГц|202 Вт|4800 МГц|2.4 ГГц|1.8 ГГц||5 ГГц|3.8 ГГц|8 cores|8 cores|37333 балл(ов)|||||30 МБ|128 ГБ||5054444454351
Intel Core i3 Raptor Lake i3-13100 OEM|Core i3|Raptor Lake|Intel LGA 1700|10 нм||60 Вт|SSE4.1, SSE4.2, AVX2||100 °С|4 cores|||8 threads|UHD Graphics 730|||||2 шт|CM8071505092202||||||||5.0|3200 МГц|89 Вт|4800 МГц|3.4 ГГц|||4.5 ГГц||4 cores|||||||12 МБ|128 ГБ||
Intel Core i3 Coffee Lake Refresh i3-9100F OEM|Core i3|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, MPX, SGX /|36|100 °С|4 cores|||4 threads|отсутствует|8 ГТ/с||||2 шт|CM8068403358820|4.2 ГГц|||||||3.0|2400 МГц||||||||||8930 балл(ов)|14969 балл(ов)|790 балл(ов)|384 КБ|1536 КБ|6 МБ|64 ГБ||
Intel Core i9 Raptor Lake Refresh 14900KF OEM|Core i9|Raptor Lake Refresh|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2|||24 cores|||32 threads|отсутствует|||192 ГБ||2 шт|CM8071505094018|6 ГГц||Есть|||36 МБ|Есть|5.0|3200 МГц|253 Вт|5600 МГц|3.2 ГГц|2.4 ГГц|5.8 ГГц|5.6 ГГц|4.4 ГГц|8 cores|16 cores|||||||||
AMD Ryzen 5 Raven Ridge 2400G OEM|Ryzen 5|Raven Ridge (Zen)|AMD AM4|14 нм|3.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /||105 °С|4 cores|||8 threads|Radeon Vega 11|||||2 шт|YD2400C5M4MFB|3.9 ГГц||Есть||||Есть|3.0|2933 МГц||||||||||9285 балл(ов)|14057 балл(ов)|856 балл(ов)|384 КБ|2048 КБ|4 МБ|||
AMD Athlon Raven Ridge 200GE OEM|Athlon Raven Ridge|Raven Ridge (Zen)|AMD AM4|14 нм|3.2 ГГц|35 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /||105 °С|2 cores|||4 threads|Radeon Vega 3|||||2 шт|YD200GC6M2OFB|||||||Есть|3.0|2677 МГц||||||||||4947 балл(ов)|8563 балл(ов)|357 балл(ов)|192 КБ|1024 КБ|4 МБ|||
Intel Pentium Comet Lake G6400 OEM|Pentium|Comet Lake|Intel LGA 1200|14 нм|4 ГГц|58 Вт|SSE4.1, SSE4.2|40|100 °С|2 cores|||4 threads|UHD Graphics 610|8 ГТ/с||||2 шт|CM8070104291810|||||||Есть|3.0|2666 МГц||||||||||4137 балл(ов)|||||4 МБ|128 ГБ||
Intel Core i9 Raptor Lake Refresh 14900K OEM|Core i9|Raptor Lake Refresh|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2|||24 cores|||32 threads|UHD Graphics 770|||192 ГБ||2 шт|CM8071505094017|6 ГГц||Есть|||36 МБ|Есть|5.0|3200 МГц|253 Вт|5600 МГц|3.2 ГГц|2.4 ГГц|5.8 ГГц|5.6 ГГц|4.4 ГГц|8 cores|16 cores|||||||||
Intel Core i9 Rocket Lake i9-11900KF OEM|Core i9|Rocket Lake|Intel LGA 1200|14 нм|3.5 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2||100 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||||2 шт|CM8070804400164|5.1 ГГц||Есть||||Есть|4.0|3200 МГц|||||5.2 ГГц|||||27315 балл(ов)|43024 балл(ов)|2575 балл(ов)|||16 МБ|128 ГБ||
Intel Core i9 Alder Lake i9-12900 OEM|Core i9|Alder Lake|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|UHD Graphics 770|||||2 шт|CM8071504549317|5.1 ГГц||Есть||||Есть|5.0|3200 МГц|202 Вт|4800 МГц|2.4 ГГц|1.8 ГГц||5 ГГц|3.8 ГГц|8 cores|8 cores||||||30 МБ|128 ГБ||
Intel Core i5 Coffee Lake Refresh i5-9400 OEM|Core i5|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|2.9 ГГц|65 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|29|100 °С|6 cores|||6 threads|UHD Graphics 630|8 ГТ/с||||2 шт|CM8068403358816|4.1 ГГц|||||||3.0|2666 МГц||||||||||9597 балл(ов)|20337 балл(ов)||384 КБ|1536 КБ|9 МБ|128 ГБ||
Intel Core i9 Raptor Lake i9-13900F BOX|Core i9|Raptor Lake|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|24 cores|||32 threads|отсутствует|||||2 шт|BX8071513900F|5.6 ГГц||||||Есть|5.0|3200 МГц|219 Вт|5600 МГц|2 ГГц|1.5 ГГц|5.5 ГГц|5.2 ГГц|4.2 ГГц|8 cores|16 cores||||||36 МБ|128 ГБ||0735858528221, 5032037260183
AMD Ryzen Threadripper PRO 3975WX OEM|Ryzen Threadripper|Castle Peak (Zen 2)|AMD WRX8|7 нм|3.5 ГГц|280 Вт||35|90 °С|32 cores|||64 threads|отсутствует|||||8 шт|100-000000086|4.2 ГГц||||||Есть||3200 МГц||||||||||64330 балл(ов)||7575 балл(ов)|2048 КБ|16384 КБ|128 МБ|||
AMD Athlon Raven Ridge 3000G OEM|Athlon Raven Ridge|Raven Ridge (Zen)|AMD AM4|14 нм|3.5 ГГц|35 Вт|||95 °С|2 cores|||4 threads|Radeon Vega 3|||||2 шт|YD3000C6M2OFH|||||||Есть|3.0|2667 МГц||||||||||4470 балл(ов)|8399 балл(ов)|388 балл(ов)|||4 МБ|||
Intel Core i7 Comet Lake i7-10700KF OEM|Core i7|Comet Lake|Intel LGA 1200|14 нм|3.8 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2|38|100 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||||2 шт|CM8070104282437|5 ГГц||Есть||||Есть|3.0|2933 МГц|||||5.1 ГГц|||||19819 балл(ов)|37608 балл(ов)|2344 балл(ов)|||16 МБ|128 ГБ||
Intel Core i9 Alder Lake i9-12900 BOX|Core i9|Alder Lake|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|UHD Graphics 770|||||2 шт|BX8071512900, BXC8071512900|5.1 ГГц||Есть||||Есть|5.0|3200 МГц|202 Вт|4800 МГц|2.4 ГГц|1.8 ГГц||5 ГГц|3.8 ГГц|8 cores|8 cores||||||30 МБ|128 ГБ|Есть|
AMD Ryzen 9 Raphael 7900X3D BOX|Ryzen 9|Raphael (Zen 4)|AMD AM5|5 нм|4.4 ГГц|120 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE||89 °С|12 cores|||24 threads|Radeon|||||2 шт|100-100000909WOF|5.6 ГГц||Есть||||Есть|5.0|||5200 МГц|||||||||||768 КБ|12288 КБ|128 МБ|128 ГБ||0730143314916
Intel Core i7 Comet Lake i7-10700 OEM|Core i7|Comet Lake|Intel LGA 1200|14 нм|2.9 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2|29|100 °С|8 cores|||16 threads|UHD Graphics 630|8 ГТ/с||||2 шт|CM8070104282327|4.7 ГГц||||||Есть|3.0|2933 МГц|||||4.8 ГГц|||||17490 балл(ов)|35745 балл(ов)|2291 балл(ов)|||16 МБ|128 ГБ||
Intel Core i9 Alder Lake i9-12900K OEM|Core i9|Alder Lake|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|UHD Graphics 770|||||2 шт|CM8071504549230|5.2 ГГц||Есть||||Есть|5.0|3200 МГц|241 Вт|4800 МГц|3.2 ГГц|2.4 ГГц||5.1 ГГц|3.9 ГГц|8 cores|8 cores||||||30 МБ|128 ГБ||
